actor,opening night,show,wikipedia link,terminal school,school (2),relatives,theater credits,film credits,tv credits,screen credits before opening night,screen credits after opening night
Christopher Jackson,1997,The Lion King,,American Musical and Dramatic Academy (AMDA),,,16,8,15,0,23
Anthony Ramos,2015,Hamilton,https://en.wikipedia.org/wiki/Anthony_Ramos,American Musical and Dramatic Academy (AMDA),,,9,16,12,1,27
Caissie Levy,2022,Leopoldstadt,https://en.wikipedia.org/wiki/Caissie_Levy,American Musical and Dramatic Academy (AMDA),,,12,2,6,7,0
Clifton Davis,2014,Aladdin,https://en.wikipedia.org/wiki/Clifton_Davis,Andrews University,,,,12,42,47,7
Lea Salonga,2023,Here Lies Love,https://en.wikipedia.org/wiki/Lea_Salonga,Ateneo de Manila University,,"Gerard Salonga (brother)
Maniya Barredo (cousin)
Shay Mitchell (cousin)",,,,0,0
Colton Ryan,2023,"New York, New York",https://en.wikipedia.org/wiki/Colton_Ryan,Baldwin Wallace University,,,8,4,6,9,0
Jasmine Cephas Jones,2015,Hamilton,https://en.wikipedia.org/wiki/Jasmine_Cephas_Jones,Berklee College of Music,,"Ron Cephas Jones (father)
Kim Lesley Hartman (mother)",3,12,8,5,15
Jennifer Simard,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Jennifer_Simard,Boston Conservatory,,,11,6,6,12,0
Alex Wyse,2023,"Good Night, Oscar",https://en.wikipedia.org/wiki/Alex_Wyse,Boston University,,,15,8,8,16,0
Myles Frost,2022,MJ The Musical,https://en.wikipedia.org/wiki/Myles_Frost,Bowie State University,Belmont University,,,1,4,4,0
Will Swenson,2022,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Will_Swenson,Brigham Young University,,,20,10,13,21,1
Daveed Diggs,2015,Hamilton,https://en.wikipedia.org/wiki/Daveed_Diggs,Brown University,,,15,15,24,4,35
Miriam Silverman,2023,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Miriam_Silverman,Brown University,,,26,2,10,10,0
Melissa Fahn,2003,Wicked,https://en.wikipedia.org/wiki/Melissa_Fahn,California State University,,,1,17,12,18,11
James Monroe Iglehart,2014,Aladdin,https://en.wikipedia.org/wiki/James_Monroe_Iglehart,California State University,,,11,7,31,6,32
Christian Borle,2022,Some Like It Hot,https://en.wikipedia.org/wiki/Christian_Borle,Carnegie Mellon University,,,33,6,27,33,0
Emily Skinner,2023,"New York, New York",https://en.wikipedia.org/wiki/Emily_Skinner,Carnegie Mellon University,,,23,,,0,0
Grey Henson,2023,Shucked,https://en.wikipedia.org/wiki/Grey_Henson,Carnegie Mellon University,,,3,,3,3,0
Josh Gad,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Josh_Gad,Carnegie Mellon University,,,2,37,41,22,56
Rory O'Malley,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Rory_O%27Malley,Carnegie Mellon University,,,8,,4,1,3
Susan Heyward,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Susan_Heyward,Carnegie Mellon University,,,5,7,14,17,4
