actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Anthony Ramos,Hamilton,https://en.wikipedia.org/wiki/Anthony_Ramos,American Musical and Dramatic Academy,,,0,8,9
Colton Ryan,"New York, New York",https://en.wikipedia.org/wiki/Colton_Ryan,Baldwin Wallace University,,,4,6,8
Jasmine Cephas Jones,Hamilton,https://en.wikipedia.org/wiki/Jasmine_Cephas_Jones,Berklee College of Music,,"Ron Cephas Jones (father)
Kim Lesley Hartman (mother)",12,8,3
Jennifer Simard,Once Upon a One More Time,https://en.wikipedia.org/wiki/Jennifer_Simard,Boston Conservatory,,,6,6,11
Myles Frost,MJ The Musical,https://en.wikipedia.org/wiki/Myles_Frost,Bowie State University,Belmont University,,1,4,
Daveed Diggs,Hamilton,https://en.wikipedia.org/wiki/Daveed_Diggs,Brown University,,,15,24,15
Miriam Silverman,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Miriam_Silverman,Brown University,,,2,10,26
Melissa Fahn,Wicked,https://en.wikipedia.org/wiki/Melissa_Fahn,California State University at Long Beach,,,2,,1
Christian Borle,Some Like It Hot,https://en.wikipedia.org/wiki/Christian_Borle,Carnegie Mellon University,,,6,27,33
Emily Skinner,"New York, New York",https://en.wikipedia.org/wiki/Emily_Skinner,Carnegie Mellon University,,,,,23
Grey Henson,Shucked,https://en.wikipedia.org/wiki/Grey_Henson,Carnegie Mellon University,,,,3,3
Josh Gad,The Book of Mormon,https://en.wikipedia.org/wiki/Josh_Gad,Carnegie Mellon University,,,37,41,2
Rory O'Malley,The Book of Mormon,https://en.wikipedia.org/wiki/Rory_O%27Malley,Carnegie Mellon University,,,,4,8
Susan Heyward,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Susan_Heyward,Carnegie Mellon University,,,7,14,5
Linda Powell,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Linda_Powell,College of William and Mary,Circle in the Square Theatre School,"Colin Powell (father)
Alma Johnson (mother)
Michael Powell (brother)",6,5,
Denise Faye,Chicago,https://en.wikipedia.org/wiki/Denise_Faye,Columbia University,"(Barnard College, )",,,,14
Ben Platt,Parade,https://en.wikipedia.org/wiki/Ben_Platt,Columbia University,,,16,11,14
Jane Lynch,Funny Girl,https://en.wikipedia.org/wiki/Jane_Lynch,Cornell University,Illinois State University,,,,
Taylor Trensch,Camelot,https://en.wikipedia.org/wiki/Taylor_Trensch,Elon University,,,,,20
Janet Dacal,"New York, New York",https://en.wikipedia.org/wiki/Janet_Dacal,Florida International University,,,,,
Ephraim Sykes,Hamilton,https://en.wikipedia.org/wiki/Ephraim_Sykes,Fordham University,,Martina Sykes (sister),,,7
Emily Bergl,"Good Night, Oscar",https://en.wikipedia.org/wiki/Emily_Bergl,Grinnell College,,,12,35,
Tam Mutu,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Tam_Mutu,Guildford School of Acting,,,,7,24
Laurie Metcalf,Grey House,https://en.wikipedia.org/wiki/Laurie_Metcalf,Illinois State University,,,,,
Sean Hayes,"Good Night, Oscar",https://en.wikipedia.org/wiki/Sean_Hayes,Illinois State University,,,19,38,5
Aaron Tveit,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Aaron_Tveit,Ithaca College,,,12,14,20
Michelle Federer,Wicked,https://en.wikipedia.org/wiki/Michelle_Federer,Ithaca College,,,5,9,
Bebe Neuwirth,Chicago,https://en.wikipedia.org/wiki/Bebe_Neuwirth,Juilliard School,,,28,46,24
Ben Rappaport,"Good Night, Oscar",https://en.wikipedia.org/wiki/Ben_Rappaport,Juilliard School,,,,,
Betsy Struxness,Hamilton,https://en.wikipedia.org/wiki/Betsy_Struxness,Juilliard School,,,,,12
Phillipa Soo,Camelot,https://en.wikipedia.org/wiki/Phillipa_Soo,Juilliard School,,,10,6,12
Phillipa Soo,Hamilton,https://en.wikipedia.org/wiki/Phillipa_Soo,Juilliard School,,,10,6,12
Seth Numrich,Leopoldstadt,https://en.wikipedia.org/wiki/Seth_Numrich,Juilliard School,,,,,
Steven Boyer,Kimberly Akimbo,https://en.wikipedia.org/wiki/Steven_Boyer,Juilliard School,,,14,24,12
Tom Alan Robbins,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Tom_Alan_Robbins,Juilliard School,,,2,14,
Tom Alan Robbins,The Lion King,https://en.wikipedia.org/wiki/Tom_Alan_Robbins,Juilliard School,,,2,14,
